time,cooler,fan
1531256935.5431285,0.0,0.0
1531256996.2649364,0.0,0.0
1531257056.9923215,0.0,0.0
1531257118.119716,0.0,0.0
1531257178.8432698,0.0,0.0
1531257239.8742113,0.0,0.0
1531257300.5955708,0.0,0.0
1531257361.6250775,0.0,0.0
1531257422.3497741,0.0,0.0
1531257483.07322,0.0,0.0
1531257545.7482555,0.0,0.0
1531257606.4638824,0.0,0.0
1531257669.140087,0.0,0.0
1531257730.260363,0.0,0.0
1531257790.9828405,0.0,0.0
1531257851.708562,0.0,0.0
1531257912.432297,0.0,0.0
1531257973.5599525,0.0,0.0
1531258034.2853146,0.0,0.0
1531258095.0422356,0.0,0.0
1531258155.9370933,0.0,0.0
1531258216.6787405,0.0,0.0
1531258277.685479,0.0,0.0
1531258338.4146125,0.0,0.0
1531258399.130222,0.0,0.0
1531258460.0646482,0.0,0.0
1531258520.9864714,0.0,0.0
1531258581.9158273,0.0,0.0
1531258642.8465073,0.0,0.0
1531258703.7731235,0.0,0.0
1531258764.7019038,0.0,0.0
1531258825.6232526,0.0,0.0
1531258886.5529337,0.0,0.0
1531258947.48342,0.0,0.0
1531259008.205842,0.0,0.0
1531259068.9280846,0.0,0.0
1531259129.649058,0.0,0.0
1531259189.7921069,0.0,0.0
1531259252.6913936,0.0,0.0
1531259313.7723901,0.0,0.0
1531259374.7905679,0.0,0.0
1531259435.517925,0.0,0.0
1531259496.5484257,0.0,0.0
1531259557.5756464,0.0,0.0
1531259618.2995925,0.0,0.0
1531259679.0210266,0.0,0.0
1531259739.7457054,0.0,0.0
1531259800.4658425,0.0,0.0
1531259861.1918516,0.0,0.0
1531259921.9128642,0.0,0.0
1531259982.9416475,0.0,0.0
1531260043.968804,0.0,0.0
1531260104.6988494,0.0,0.0
1531260165.8393915,0.0,0.0
1531260240.5667148,0.0,0.0
1531260301.6091044,0.0,0.0
1531260362.3346524,0.0,0.0
1531260423.0570922,0.0,0.0
1531260483.7789445,0.0,0.0
1531260544.5015163,0.0,0.0
1531260605.4313679,0.0,0.0
1531260666.4581404,0.0,0.0
1531260727.1839864,0.0,0.0
1531260788.2142177,0.0,0.0
1531260849.2458944,0.0,0.0
1531260910.1725342,0.0,0.0
1531260971.2989795,0.0,0.0
1531261032.0233948,0.0,0.0
1531261093.1528928,0.0,0.0
1531261154.1814733,0.0,0.0
1531261214.904785,0.0,0.0
1531261275.6315885,0.0,0.0
1531261336.664185,0.0,0.0
1531261397.6947749,0.0,0.0
1531261458.7308555,0.0,0.0
1531261519.648126,0.0,0.0
1531261580.685317,0.0,0.0
1531261641.7048097,0.0,0.0
1531261702.3618195,0.0,0.0
1531261763.254785,0.0,0.0
1531261823.977549,0.0,0.0
1531261885.108632,0.0,0.0
1531261945.8323092,0.0,0.0
1531262006.5543046,0.0,0.0
1531262067.2782946,0.0,0.0
1531262128.0002,0.0,0.0
1531262188.7226508,0.0,0.0
1531262249.651579,0.0,0.0
1531262310.3705473,0.0,0.0
1531262371.0941665,0.0,0.0
1531262431.8188446,0.0,0.0
1531262492.540186,0.0,0.0
1531262555.2198534,0.0,0.0
1531262616.2383993,0.0,0.0
1531262676.9632075,0.0,0.0
1531262737.8873851,0.0,0.0
1531262798.61218,0.0,0.0
1531262861.599501,0.0,0.0
1531262922.6192214,0.0,0.0
1531262983.341083,0.0,0.0
1531263044.066457,0.0,0.0
1531263104.7890706,0.0,0.0
1531263165.5122886,0.0,0.0
1531263226.234209,0.0,0.0
1531263287.1115026,0.0,0.0
1531263347.991029,0.0,0.0
1531263409.014109,0.0,0.0
1531263469.737995,0.0,0.0
1531263530.4609745,0.0,0.0
1531263591.189028,0.0,0.0
1531263651.908501,0.0,0.0
1531263712.6302664,0.0,0.0
1531263773.35396,0.0,0.0
1531263834.074883,0.0,0.0
1531263895.0761654,0.0,0.0
1531263955.9301198,0.0,0.0
1531264016.6516342,0.0,0.0
1531264077.3777332,0.0,0.0
1531264138.5171525,0.0,0.0
1531264199.5342102,0.0,0.0
1531264260.668924,0.0,0.0
1531264321.3927572,0.0,0.0
1531264382.4213693,0.0,0.0
1531264443.142715,0.0,0.0
1531264503.8687794,0.0,0.0
1531264564.1835067,0.0,0.0
1531264625.2162983,0.0,0.0
1531264686.1355994,0.0,0.0
1531264746.8643336,0.0,0.0
1531264807.8894908,0.0,0.0
1531264868.6138005,0.0,0.0
1531264931.703549,0.0,0.0
1531264992.6167445,0.0,0.0
1531265053.7542982,0.0,0.0
1531265114.680337,0.0,0.0
1531265175.707315,0.0,0.0
1531265236.4288595,0.0,0.0
1531265297.1589365,0.0,0.0
1531265358.0800185,0.0,0.0
1531265418.8071456,0.0,0.0
1531265479.5252357,0.0,0.0
1531265540.2538927,0.0,0.0
1531265600.5342793,0.0,0.0
1531265661.2879162,0.0,0.0
1531265722.007733,0.0,0.0
1531265782.7327604,0.0,0.0
1531265843.7639213,0.0,0.0
1531265904.3808177,0.0,0.0
1531265965.306908,0.0,0.0
1531266026.031525,0.0,0.0
1531266086.9583132,0.0,0.0
1531266149.9454725,0.0,0.0
1531266210.6628244,0.0,0.0
1531266271.686482,0.0,0.0
1531266332.3111825,0.0,0.0
1531266393.3395796,0.0,0.0
1531266454.4706824,0.0,0.0
1531266515.1978018,0.0,0.0
1531266576.2218995,0.0,0.0
1531266637.2536294,0.0,0.0
1531266698.2881346,0.0,0.0
1531266759.2154794,0.0,0.0
1531266819.9356382,0.0,0.0
1531266880.964857,0.0,0.0
1531266941.888809,0.0,0.0
1531267002.6115851,0.0,0.0
1531267063.3339095,0.0,0.0
1531267124.0608964,0.0,0.0
1531267184.782449,0.0,0.0
1531267245.4004948,0.0,0.0
1531267306.1197393,0.0,0.0
1531267366.8478193,0.0,0.0
1531267427.569941,0.0,0.0
1531267488.7782102,0.0,0.0
1531267549.526709,0.0,0.0
1531267610.2511778,0.0,0.0
1531267671.3820007,0.0,0.0
1531267732.1057448,0.0,0.0
1531267792.8281395,0.0,0.0
1531267853.5521955,0.0,0.0
1531267913.9663475,0.0,0.0
1531267974.6866524,0.0,0.0
1531268035.4138534,0.0,0.0
1531268096.0743434,0.0,0.0
1531268156.96138,0.0,0.0
1531268217.678169,0.0,0.0
1531268278.4063618,0.0,0.0
1531268339.1266513,0.0,0.0
1531268399.8489532,0.0,0.0
1531268460.983623,0.0,0.0
1531268521.9079664,0.0,0.0
1531268582.6345196,0.0,0.0
1531268643.2534828,0.0,0.0
1531268703.7706053,0.0,0.0
1531268764.4964328,0.0,0.0
1531268825.2157962,0.0,0.0
1531268885.9384453,0.0,0.0
1531268946.662165,0.0,0.0
1531269007.3843195,0.0,0.0
1531269068.3156533,0.0,0.0
1531269129.0353553,0.0,0.0
1531269189.7590866,0.0,0.0
1531269250.4814105,0.0,0.0
1531269311.2048788,0.0,0.0
1531269371.9258564,0.0,0.0
1531269432.6495414,0.0,0.0
1531269493.3711221,0.0,0.0
1531269554.0953364,0.0,0.0
1531269614.815972,0.0,0.0
1531269675.2311234,0.0,0.0
1531269735.9553304,0.0,0.0
1531269796.677029,0.0,0.0
1531269857.4003696,0.0,0.0
1531269918.3297913,0.0,0.0
1531269979.4587455,0.0,0.0
1531270039.7742689,0.0,0.0
1531270100.702087,0.0,0.0
1531270161.4239082,0.0,0.0
1531270222.1496105,0.0,0.0
1531270283.2776608,0.0,0.0
1531270343.9984665,0.0,0.0
1531270405.1358268,0.0,0.0
1531270465.8579042,0.0,0.0
1531270526.5803187,0.0,0.0
1531270587.5538654,0.0,0.0
1531270648.434193,0.0,0.0
1531270709.1580472,0.0,0.0
1531270769.8829277,0.0,0.0
1531270830.3960009,0.0,0.0
1531270891.1201794,0.0,0.0
1531270951.8420033,0.0,0.0
1531271012.874533,0.0,0.0
1531271073.5919485,0.0,0.0
1531271134.6283398,0.0,0.0
1531271195.2484252,0.0,0.0
1531271255.967542,0.0,0.0
1531271316.6933305,0.0,0.0
1531271377.4119904,0.0,0.0
1531271438.1387618,0.0,0.0
1531271498.8579686,0.0,0.0
1531271559.378452,0.0,0.0
1531271620.1001554,0.0,0.0
1531271682.4689102,0.0,0.0
1531271743.3898256,0.0,0.0
1531271804.1125438,0.0,0.0
1531271864.8341985,0.0,0.0
1531271925.5563266,0.0,0.0
1531271986.2786634,0.0,0.0
1531272046.99931,0.0,0.0
1531272109.9880338,0.0,0.0
1531272171.1110435,0.0,0.0
1531272231.8350284,0.0,0.0
1531272292.8125515,0.0,0.0
1531272353.6901336,0.0,0.0
1531272414.4126794,0.0,0.0
1531272475.134842,0.0,0.0
1531272535.8567398,0.0,0.0
1531272596.1690292,0.0,0.0
1531272656.8926127,0.0,0.0
1531272717.5152845,0.0,0.0
1531272780.5132885,0.0,0.0
1531272841.3150742,0.0,0.0
1531272902.0385947,0.0,0.0
1531272962.7575526,0.0,0.0
1531273023.68902,0.0,0.0
1531273084.410031,0.0,0.0
1531273144.9292605,0.0,0.0
1531273205.6473114,0.0,0.0
1531273266.3763974,0.0,0.0
1531273327.0968163,0.0,0.0
1531273387.8216572,0.0,0.0
1531273448.0151458,0.0,0.0
1531273508.7492516,0.0,0.0
1531273569.4726648,0.0,0.0
1531273630.1972988,0.0,0.0
1531273690.9196012,0.0,0.0
1531273751.5386095,0.0,0.0
1531273812.6755366,0.0,0.0
1531273873.3944507,0.0,0.0
1531273934.118825,0.0,0.0
1531273994.8435745,0.0,0.0
1531274055.5615716,0.0,0.0
1531274116.1836214,0.0,0.0
1531274176.9078028,0.0,0.0
1531274239.0146954,0.0,0.0
1531274299.8902502,0.0,0.0
1531274360.6154635,0.0,0.0
1531274421.3343098,0.0,0.0
1531274484.6756895,0.0,0.0
1531274545.546444,0.0,0.0
1531274606.2663445,0.0,0.0
1531274666.9958365,0.0,0.0
1531274728.1248214,0.0,0.0
1531274788.846611,0.0,0.0
1531274849.5700395,0.0,0.0
1531274910.2935295,0.0,0.0
1531274971.4233394,0.0,0.0
1531275032.1485553,0.0,0.0
1531275092.8722775,0.0,0.0
1531275153.5939035,0.0,0.0
1531275213.9094927,0.0,0.0
1531275274.631337,0.0,0.0
1531275335.3523948,0.0,0.0
1531275396.0758386,0.0,0.0
1531275456.799247,0.0,0.0
1531275516.9670641,0.0,0.0
1531275577.836395,0.0,0.0
1531275638.9658587,0.0,0.0
1531275699.688449,0.0,0.0
1531275760.4112346,0.0,0.0
1531275821.1362605,0.0,0.0
1531275881.8596306,0.0,0.0
1531275942.5823045,0.0,0.0
1531276003.3034725,0.0,0.0
1531276064.02631,0.0,0.0
1531276124.747578,0.0,0.0
1531276184.8894913,0.0,0.0
1531276245.7840474,0.0,0.0
1531276306.5078516,0.0,0.0
1531276367.6426446,0.0,0.0
1531276428.362598,0.0,0.0
1531276489.6488063,0.0,0.0
1531276550.5281427,0.0,0.0
1531276611.2469325,0.0,0.0
1531276671.6651592,0.0,0.0
1531276732.3855038,0.0,0.0
1531276793.109911,0.0,0.0
1531276854.1415849,0.0,0.0
1531276915.1680484,0.0,0.0
1531276975.6863375,0.0,0.0
1531277036.4091105,0.0,0.0
1531277097.4398675,0.0,0.0
1531277158.465752,0.0,0.0
1531277219.194113,0.0,0.0
1531277280.2227814,0.0,0.0
1531277341.2532911,0.0,0.0
1531277401.7686913,0.0,0.0
1531277462.7964346,0.0,0.0
1531277523.8267753,0.0,0.0
1531277584.8597062,0.0,0.0
1531277645.8936086,0.0,0.0
1531277706.6140149,0.0,0.0
1531277767.6415815,0.0,0.0
1531277828.671857,0.0,0.0
1531277889.7064047,0.0,0.0
1531277950.6284487,0.0,0.0
1531278011.4565651,0.0,0.0
1531278072.4858725,0.0,0.0
1531278133.5137177,0.0,0.0
1531278194.5461588,0.0,0.0
1531278255.575808,0.0,0.0
1531278316.6087685,0.0,0.0
1531278377.636781,0.0,0.0
1531278437.8982766,0.0,0.0
1531278498.7774556,0.0,0.0
1531278559.8047762,0.0,0.0
1531278620.8342595,0.0,0.0
1531278681.8663607,0.0,0.0
1531278742.8968954,0.0,0.0
1531278803.9236429,0.0,0.0
1531278864.9517446,0.0,0.0
1531278925.37142,0.0,0.0
1531278986.3945436,0.0,0.0
1531279047.4277575,0.0,0.0
1531279108.4604735,0.0,0.0
1531279169.4909253,0.0,0.0
1531279232.3109572,0.0,0.0
1531279293.1875648,0.0,0.0
1531279354.219334,0.0,0.0
1531279415.2495153,0.0,0.0
1531279476.2778995,0.0,0.0
1531279537.3100019,0.0,0.0
1531279598.3367186,0.0,0.0
1531279658.7542448,0.0,0.0
1531279719.7841814,0.0,0.0
1531279780.7122388,0.0,0.0
1531279841.739399,0.0,0.0
1531279902.766193,0.0,0.0
1531279963.8009806,0.0,0.0
1531280024.8315468,0.0,0.0
1531280086.0144515,0.0,0.0
1531280146.8894162,0.0,0.0
1531280207.7163935,0.0,0.0
1531280268.7469506,0.0,0.0
